"cycle","variable_name","variable_label","has_value_labels","n_value_labels"
"2010-2011","IDGFLCA","Cannabis drug use/incl.1 time only - (F)",TRUE,6
"2013-2014","IDGFLCA","Cannabis drug use/incl.1 time only - (F)",TRUE,6
"2010-2011","IDGFLCM","Cannabis drug use/excl.1 time only - (F)",TRUE,6
"2013-2014","IDGFLCM","Cannabis drug use/excl.1 time only - (F)",TRUE,6
"2010-2011","IDGFYA","Illicit drg /incl.1 time can.-12 mo -(F)",TRUE,6
"2013-2014","IDGFYA","Illicit drg /incl.1 time can.-12 mo -(F)",TRUE,6
"2010-2011","IDGFYAC","Illi.drg use/excl.1 time can.-12 mo -(F)",TRUE,6
"2013-2014","IDGFYAC","Illi.drg use/excl.1 time can.-12 mo -(F)",TRUE,6
"2010-2011","IDGFYCM","Can.drg use/excl.1 time only -12 mo -(F)",TRUE,6
"2013-2014","IDGFYCM","Can.drg use/excl.1 time only -12 mo -(F)",TRUE,6
"2010-2011","INCDRCA","Household income distribution - (D)",TRUE,14
"2013-2014","INCDRCA","Household income distribution - (D)",TRUE,14
"2010-2011","INCDRPR","Hhld inc. distribution-prov. level - (D)",TRUE,14
"2013-2014","INCDRPR","Hhld inc. distribution-prov. level - (D)",TRUE,14
"2010-2011","INCDRRS","Hhld inc. distribution- hr level - (D)",TRUE,14
"2013-2014","INCDRRS","Hhld inc. distribution- hr level - (D)",TRUE,14
"2010-2011","INCG2","Total hhld inc. - main source - (G)",TRUE,8
"2013-2014","INCG2","Total hhld inc. - main source - (G)",TRUE,8
"2010-2011","INCG7","Main source of personal income - (G)",TRUE,8
"2013-2014","INCG7","Main source of personal income - (G)",TRUE,8
"2010-2011","INCGHH","Total hhld inc. from all sources - (D,G)",TRUE,9
"2013-2014","INCGHH","Total hhld inc. from all sources - (D,G)",TRUE,9
"2010-2011","INCGPER","Total pers. inc. from all sources (D,G)",TRUE,10
"2013-2014","INCGPER","Total pers. inc. from all sources (D,G)",TRUE,10
"2010-2011","INJDSTT","Injury Status - (D)",TRUE,8
"2013-2014","INJDSTT","Injury Status - (D)",TRUE,8
"2010-2011","INJG02","No. of injuries in past 12 mo - (G)",TRUE,8
"2013-2014","INJG02","No. of injuries in past 12 mo - (G)",TRUE,8
"2010-2011","INJG05","Most serious injury - type - (G)",TRUE,13
"2013-2014","INJG05","Most serious injury - type - (G)",TRUE,13
"2010-2011","INJG06","Most serious inj. - body part aff. - (G)",TRUE,14
"2013-2014","INJG06","Most serious inj. - body part aff. - (G)",TRUE,14
"2010-2011","INJG08","Most serious injury - place - (G)",TRUE,12
"2013-2014","INJG08","Most serious injury - place - (G)",TRUE,12
"2010-2011","INJG092","Most serious inj.- activity when inj.(G)",TRUE,11
"2013-2014","INJG092","Most serious inj.- activity when inj.(G)",TRUE,11
"2010-2011","INJG11A","How did you fall - (G)",TRUE,10
"2013-2014","INJG11A","How did you fall - (G)",TRUE,10
"2010-2011","INJG14C","Most serious inj.- treated in clinic (G)",TRUE,6
"2013-2014","INJG14C","Most serious inj.- treated in clinic (G)",TRUE,6
"2010-2011","INJG14J2","Most ser.inj.-physio/mass/chiro/other(G)",TRUE,6
"2013-2014","INJG14J2","Most ser.inj.-physio/mass/chiro/other(G)",TRUE,6
"2010-2011","INJG17","Other injuries - number - (G)",TRUE,7
"2013-2014","INJG17","Other injuries - number - (G)",TRUE,7
"2010-2011","INJGCAU","Cause of injury - (D,G)",TRUE,11
"2013-2014","INJGCAU","Cause of injury - (D,G)",TRUE,11
"2010-2011","INJ_01","Injured in past 12 mo",TRUE,6
"2013-2014","INJ_01","Injured in past 12 mo",TRUE,6
"2010-2011","INJ_10","Most serious injury - result of a fall",TRUE,6
"2013-2014","INJ_10","Most serious injury - result of a fall",TRUE,6
"2010-2011","INJ_13","Most serious inj. - rec'd treat./48 hrs.",TRUE,6
"2013-2014","INJ_13","Most serious inj. - rec'd treat./48 hrs.",TRUE,6
"2010-2011","INJ_14A","Receive treatment in the 48 hours",TRUE,6
"2013-2014","INJ_14A","Receive treatment in the 48 hours",TRUE,6
"2010-2011","INJ_14B","Receive treatment in the 48 hours",TRUE,6
"2013-2014","INJ_14B","Receive treatment in the 48 hours",TRUE,6
"2010-2011","INJ_14O","Receive treatment in the 48 hours",TRUE,6
"2013-2014","INJ_14O","Receive treatment in the 48 hours",TRUE,6
"2010-2011","INJ_15","Most serious injury - hospital admission",TRUE,6
"2013-2014","INJ_15","Follow-up care because of injury",TRUE,6
"2010-2011","INJ_15A","Follow-up care because of injury",TRUE,6
"2013-2014","INJ_15A","Follow-up care because of injury",TRUE,6
"2010-2011","INJ_16","Other injuries - treated / not limiting",TRUE,6
"2013-2014","INJ_16","Other injuries - treated / not limiting",TRUE,6
"2013-2014","INS_1","Insurance - prescription medications",TRUE,6
"2013-2014","INS_1A","Type of plan -gov. - sponsored (med)",TRUE,6
